"lncRNAs","GNCoding","Genes","GPCoding","miRNAs"
"ENSG00000130600","H19","ENSG00000139112","GABARAPL1","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000173402","DAG1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000069493","CLEC2D","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000135074","ADAM19","hsa-miR-29b-3p"
"ENSG00000130600","H19","ENSG00000155380","SLC16A1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000136193","SCRN1","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000081052","COL4A4","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000153944","MSI2","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000108551","RASD1","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000175063","UBE2C","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000110848","CD69","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000138759","FRAS1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000117091","CD48","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000105711","SCN1B","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000185697","MYBL1","hsa-miR-107,hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-103a-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000128833","MYO5C","hsa-miR-138-5p,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000144218","AFF3","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000013573","DDX11","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000171723","GPHN","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000068366","ACSL4","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000129521","EGLN3","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000215440","NPEPL1","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000143622","RIT1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000184205","TSPYL2","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000165124","SVEP1","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000172986","GXYLT2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000113083","LOX","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000170525","PFKFB3","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000198435","NRARP","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000170542","SERPINB9","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000139436","GIT2","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000124225","PMEPA1","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000196083","IL1RAP","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000161960","EIF4A1","hsa-miR-370-3p"
"ENSG00000130600","H19","ENSG00000188153","COL4A5","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000008300","CELSR3","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000029534","ANK1","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000121039","RDH10","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000166974","MAPRE2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000187498","COL4A1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000017797","RALBP1","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000105643","ARRDC2","hsa-miR-370-3p"
"ENSG00000130600","H19","ENSG00000196839","ADA","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000172765","TMCC1","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000114573","ATP6V1A","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000183049","CAMK1D","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000174306","ZHX3","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000090104","RGS1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
